Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
20210602-MA-ABB1F_S31_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.1474010861132661)	(140, 0.756400310318076)	(145, 0.756400310318076)	(150, 0.756400310318076)	(155, 0.756400310318076)	(160, 0.756400310318076)	(165, 0.756400310318076)	(170, 0.756400310318076)	(175, 0.756400310318076)	(180, 0.756400310318076)	(185, 0.756400310318076)	(190, 0.756400310318076)	(195, 0.756400310318076)	(200, 0.756400310318076)	(205, 0.756400310318076)	(210, 0.756400310318076)	(215, 0.756400310318076)	(220, 0.756400310318076)	(225, 0.756400310318076)	(230, 0.756400310318076)	(235, 0.756400310318076)	(240, 0.756400310318076)
20210602-MA-ABB1P_S28_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.1504652544050683)	(140, 0.7523262720253415)	(145, 0.7523262720253415)	(150, 0.7523262720253415)	(155, 0.7523262720253415)	(160, 0.7523262720253415)	(165, 0.7523262720253415)	(170, 0.7523262720253415)	(175, 0.7523262720253415)	(180, 0.7523262720253415)	(185, 0.7523262720253415)	(190, 0.7523262720253415)	(195, 0.7523262720253415)	(200, 0.7523262720253415)	(205, 0.7523262720253415)	(210, 0.7523262720253415)	(215, 0.7523262720253415)	(220, 0.7523262720253415)	(225, 0.7523262720253415)	(230, 0.7523262720253415)	(235, 0.7523262720253415)	(240, 0.7523262720253415)
20210602-MA-ABB1W_S58_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.20012995451591942)	(140, 1.000649772579597)	(145, 1.000649772579597)	(150, 1.000649772579597)	(155, 1.000649772579597)	(160, 1.000649772579597)	(165, 1.000649772579597)	(170, 1.000649772579597)	(175, 1.000649772579597)	(180, 1.000649772579597)	(185, 1.000649772579597)	(190, 1.000649772579597)	(195, 1.000649772579597)	(200, 1.000649772579597)	(205, 1.000649772579597)	(210, 1.000649772579597)	(215, 1.000649772579597)	(220, 1.000649772579597)	(225, 1.000649772579597)	(230, 1.000649772579597)	(235, 1.000649772579597)	(240, 1.000649772579597)
20210602-MA-ABS1F_S45_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.16869360533542566)	(140, 0.8434680266771283)	(145, 0.8434680266771283)	(150, 0.8434680266771283)	(155, 0.8434680266771283)	(160, 0.8434680266771283)	(165, 0.8434680266771283)	(170, 0.8434680266771283)	(175, 0.8434680266771283)	(180, 0.8434680266771283)	(185, 0.8434680266771283)	(190, 0.8434680266771283)	(195, 0.8434680266771283)	(200, 0.8434680266771283)	(205, 0.8434680266771283)	(210, 0.8434680266771283)	(215, 0.8434680266771283)	(220, 0.8434680266771283)	(225, 0.8434680266771283)	(230, 0.8434680266771283)	(235, 0.8434680266771283)	(240, 0.8434680266771283)
20210602-MA-ABS1P_S65_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.15254237288135591)	(140, 0.8135593220338982)	(145, 0.8135593220338982)	(150, 0.8135593220338982)	(155, 0.8135593220338982)	(160, 0.8135593220338982)	(165, 0.8135593220338982)	(170, 0.8135593220338982)	(175, 0.8135593220338982)	(180, 0.8135593220338982)	(185, 0.8135593220338982)	(190, 0.8135593220338982)	(195, 0.8135593220338982)	(200, 0.8135593220338982)	(205, 0.8135593220338982)	(210, 0.8135593220338982)	(215, 0.8135593220338982)	(220, 0.8135593220338982)	(225, 0.8135593220338982)	(230, 0.8135593220338982)	(235, 0.8135593220338982)	(240, 0.8135593220338984)
20210602-MA-ABS1W_S93_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.16799292661361626)	(140, 0.8399646330680813)	(145, 0.8399646330680813)	(150, 0.8399646330680813)	(155, 0.8399646330680813)	(160, 0.8399646330680813)	(165, 0.8399646330680813)	(170, 0.8399646330680813)	(175, 0.8399646330680813)	(180, 0.8399646330680813)	(185, 0.8399646330680813)	(190, 0.8399646330680813)	(195, 0.8399646330680813)	(200, 0.8399646330680813)	(205, 0.8399646330680813)	(210, 0.8399646330680813)	(215, 0.8399646330680813)	(220, 0.8399646330680813)	(225, 0.8399646330680813)	(230, 0.8399646330680813)	(235, 0.8399646330680813)	(240, 0.8399646330680813)
20210602-MA-CEB1F_S8_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.18746916625555007)	(140, 0.9373458312777505)	(145, 0.9373458312777505)	(150, 0.9373458312777505)	(155, 0.9373458312777505)	(160, 0.9373458312777505)	(165, 0.9373458312777505)	(170, 0.9373458312777505)	(175, 0.9373458312777505)	(180, 0.9373458312777505)	(185, 0.9373458312777505)	(190, 0.9373458312777505)	(195, 0.9373458312777505)	(200, 0.9373458312777505)	(205, 0.9373458312777505)	(210, 0.9373458312777505)	(215, 0.9373458312777505)	(220, 0.9373458312777505)	(225, 0.9373458312777505)	(230, 0.9373458312777505)	(235, 0.9373458312777505)	(240, 0.9373458312777504)
20210602-MA-CEB1P_S87_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.03950487226757966)	(140, 0.19752436133789833)	(145, 0.19752436133789833)	(150, 0.19752436133789833)	(155, 0.19752436133789833)	(160, 0.19752436133789833)	(165, 0.19752436133789833)	(170, 0.19752436133789833)	(175, 0.19752436133789833)	(180, 0.19752436133789833)	(185, 0.19752436133789833)	(190, 0.19752436133789833)	(195, 0.19752436133789833)	(200, 0.19752436133789833)	(205, 0.19752436133789833)	(210, 0.19752436133789833)	(215, 0.19752436133789833)	(220, 0.19752436133789833)	(225, 0.19752436133789833)	(230, 0.19752436133789833)	(235, 0.19752436133789833)	(240, 0.19752436133789833)
20210602-MA-CEB1W_S94_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.2217052141781853)	(140, 1.1085260708909266)	(145, 1.1085260708909266)	(150, 1.1085260708909266)	(155, 1.1085260708909266)	(160, 1.1085260708909266)	(165, 1.1085260708909266)	(170, 1.1085260708909266)	(175, 1.1085260708909266)	(180, 1.1085260708909266)	(185, 1.1085260708909266)	(190, 1.1085260708909266)	(195, 1.1085260708909266)	(200, 1.1085260708909266)	(205, 1.1085260708909266)	(210, 1.1085260708909266)	(215, 1.1085260708909266)	(220, 1.1085260708909266)	(225, 1.1085260708909266)	(230, 1.1085260708909266)	(235, 1.1085260708909266)	(240, 1.1085260708909266)
20210602-MA-CES1F_S79_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.12393036293892004)	(140, 0.6048982000590145)	(145, 0.6048982000590145)	(150, 0.6048982000590145)	(155, 0.6048982000590145)	(160, 0.6048982000590145)	(165, 0.6048982000590145)	(170, 0.6048982000590145)	(175, 0.6048982000590145)	(180, 0.6048982000590145)	(185, 0.6048982000590145)	(190, 0.6048982000590145)	(195, 0.6048982000590145)	(200, 0.6048982000590145)	(205, 0.6048982000590145)	(210, 0.6048982000590145)	(215, 0.6048982000590145)	(220, 0.6048982000590145)	(225, 0.6048982000590145)	(230, 0.6048982000590145)	(235, 0.6048982000590145)	(240, 0.6048982000590145)
