Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
022um-Control_S36_L001_R1_001	(1, 32.75017197890392)	(2, 32.695138729649166)	(3, 17.811052510891997)	(4, 30.029924329282274)	(5, 30.52327447833066)	(6, 33.066727814721396)	(7, 33.66326530612245)	(8, 32.233662004127495)	(9, 32.315409309791335)	(10, 34.24384315523962)	(15, 37.349965604219214)	(20, 37.15601926163724)	(25, 37.42146296720936)	(30, 38.09243292822747)	(35, 37.58936023847741)	(40, 37.78252694336162)	(45, 36.916968585186886)	(50, 37.060467782618666)	(55, 37.178880990598486)	(60, 37.65517083237789)	(65, 37.78883283650539)	(70, 38.235932125659254)	(75, 38.047741343728504)	(80, 37.12852556753038)	(85, 37.75682182985553)	(90, 37.876748452189865)	(95, 37.4614079339601)	(100, 38.26429717954598)	(105, 37.3967897271268)	(110, 37.944554001375835)	(115, 36.55221279523045)	(120, 37.6827103875258)	(125, 37.617587709241)	(130, 37.71368952075212)	(135, 35.43950928686081)	(140, 37.368310020637466)	(145, 37.69568906214171)	(150, 37.9102499426737)	(155, 37.12905296950241)	(160, 37.174799357945425)	(165, 37.241894060995186)	(170, 36.51715202935107)	(175, 35.85760146755331)	(180, 36.50217839944967)	(185, 36.64625085989452)	(190, 36.72639302912176)	(195, 35.04028892455859)	(200, 33.71382710387526)	(205, 35.848085301536344)	(210, 35.464251318504935)	(215, 35.43221738133456)	(220, 35.48083008484293)	(225, 35.17670259114882)	(230, 34.15624856684247)	(235, 34.978697546434304)	(240, 35.313185049300614)	(245, 34.67016739279982)	(250, 34.576645264847514)
022um-Control_S36_L001_R2_001	(1, 29.940495299243292)	(2, 32.081288695253384)	(3, 32.034625085989454)	(4, 31.814492088970418)	(5, 32.5781930749828)	(6, 36.31162577390507)	(7, 35.57291905526255)	(8, 36.117404265076814)	(9, 36.37411144232974)	(10, 36.68465948177023)	(15, 36.03423526714056)	(20, 34.64210043567989)	(25, 36.107544141252006)	(30, 37.5921577619812)	(35, 37.40357716120157)	(40, 37.321462967209364)	(45, 35.99938087594588)	(50, 36.206810364595285)	(55, 36.62710387525796)	(60, 34.747833065810596)	(65, 35.70114652602614)	(70, 37.15952763127723)	(75, 36.90855308415502)	(80, 37.8436138500344)	(85, 37.57642742490255)	(90, 37.345494152717265)	(95, 37.15083696399908)	(100, 36.88754872735611)	(105, 35.63109378582894)	(110, 37.84666360926393)	(115, 35.73068103645953)	(120, 37.234808530153636)	(125, 36.98401742719559)	(130, 37.88936023847741)	(135, 36.8480394404953)	(140, 35.18553084155011)	(145, 37.066521440036695)	(150, 37.190713139188254)	(155, 36.938706718642514)	(160, 36.21302453565696)	(165, 35.53201100664985)	(170, 34.79419857830773)	(175, 34.84434762669112)	(180, 36.90043567988993)	(185, 34.761247420316444)	(190, 36.31261178628755)	(195, 34.38172437514332)	(200, 35.9364824581518)	(205, 34.57360697087824)	(210, 34.26223343269892)	(215, 34.55549185966522)	(220, 33.2333639073607)	(225, 34.33944049529924)	(230, 33.87656500802568)	(235, 33.842903003898186)	(240, 34.270282045402425)	(245, 34.3711534051823)	(250, 30.532045402430636)
20210602-MA-ABB1F_S31_L001_R1_001	(1, 32.58494957331265)	(2, 32.7011249030256)	(3, 18.500581846392553)	(4, 30.65690457719162)	(5, 30.177269200930954)	(6, 31.724592707525215)	(7, 32.31497284716835)	(8, 32.48642358417378)	(9, 32.52249806051203)	(10, 34.74538401861908)	(15, 37.249728471683476)	(20, 37.27986811481769)	(25, 37.196043444530645)	(30, 38.247207137315755)	(35, 37.61474010861132)	(40, 37.7677269200931)	(45, 36.93126454615982)	(50, 37.38657874321179)	(55, 36.59701318851823)	(60, 37.53758727695889)	(65, 37.203258339798296)	(70, 37.34871993793639)	(75, 37.47350659425912)	(80, 36.912684251357646)	(85, 37.762490302560124)	(90, 37.09972847168348)	(95, 36.69965089216447)	(100, 37.08712179984484)	(105, 36.777812257564)	(110, 37.316175329712955)	(115, 36.799456943366955)	(120, 36.73246702870442)	(125, 36.19681923972072)	(130, 36.057796741660205)	(135, 35.52579519006982)	(140, 36.47323506594259)	(145, 36.63238944918541)	(150, 36.11342125678821)	(155, 36.17032583397983)	(160, 36.00930954228084)	(165, 36.148332040341344)	(170, 35.618541505042664)	(175, 35.64794414274631)	(180, 35.451900698215674)	(185, 35.34076803723817)	(190, 35.43475562451513)	(195, 34.089138867339024)	(200, 34.17199379363848)	(205, 35.21815360744763)	(210, 34.56741660201707)	(215, 34.87265321955004)	(220, 34.432583397982924)	(225, 34.243910007757954)	(230, 33.309852598913885)	(235, 34.0356477889837)	(240, 34.76617532971296)	(245, 33.35062063615205)	(250, 31.60744763382467)
20210602-MA-ABB1F_S31_L001_R2_001	(1, 30.166602017067493)	(2, 32.06264546159814)	(3, 31.67610550814585)	(4, 31.671062839410396)	(5, 31.908068269976727)	(6, 36.11132660977502)	(7, 35.52211016291699)	(8, 33.87548487199379)	(9, 34.659813809154386)	(10, 35.55279286268426)	(15, 36.13572536850271)	(20, 34.95403413498836)	(25, 36.07521334367727)	(30, 37.41055081458495)	(35, 36.46536074476339)	(40, 36.350271528316526)	(45, 35.86675717610551)	(50, 36.318114817688134)	(55, 36.82831652443755)	(60, 35.076920093095424)	(65, 35.555546935609)	(70, 37.40632273079907)	(75, 36.779053529868115)	(80, 37.26082234290148)	(85, 37.501241272304114)	(90, 37.39391000775795)	(95, 37.441155934833205)	(100, 37.08502715283165)	(105, 36.11803723816912)	(110, 37.415709852598916)	(115, 36.40069821567106)	(120, 37.324941815360745)	(125, 36.166834755624514)	(130, 37.26214119472459)	(135, 36.389371605896045)	(140, 35.66586501163693)	(145, 36.183475562451505)	(150, 36.20612878200156)	(155, 35.710085337470915)	(160, 35.310744763382466)	(165, 35.126260667183864)	(170, 35.232311869666404)	(175, 35.58483320403414)	(180, 36.00876648564779)	(185, 34.56144297905353)	(190, 35.37412723041117)	(195, 34.84387121799845)	(200, 35.10310318076027)	(205, 33.966252909231955)	(210, 34.62366175329713)	(215, 34.69010861132661)	(220, 32.86683475562452)	(225, 33.74542280837859)	(230, 33.3456167571761)	(235, 32.93653995345228)	(240, 33.216446858029485)	(245, 33.72432117920869)	(250, 30.59455003878976)
20210602-MA-ABB1P_S28_L001_R1_001	(1, 32.327657889526826)	(2, 32.67075826568996)	(3, 18.227677687586617)	(4, 30.710156404672343)	(5, 30.281924371411602)	(6, 31.80419718867551)	(7, 32.39635715699861)	(8, 32.54424866363097)	(9, 32.57513363690359)	(10, 35.03520095030687)	(15, 37.25389031874876)	(20, 37.37295585032666)	(25, 37.25238566620472)	(30, 38.32920213819045)	(35, 37.70940407840031)	(40, 37.85218768560681)	(45, 37.077370817659876)	(50, 37.4674717877648)	(55, 36.78435953276579)	(60, 37.735775094040775)	(65, 37.312254999010094)	(70, 37.53759651554147)	(75, 37.65705800831519)	(80, 37.19596119580281)	(85, 37.87246089883191)	(90, 37.37814294199169)	(95, 36.8307265887943)	(100, 37.213937834092256)	(105, 36.94353593347852)	(110, 37.558503266679864)	(115, 37.07372797465848)	(120, 37.01453177588596)	(125, 36.56464066521481)	(130, 36.47919223916056)	(135, 36.03128093446843)	(140, 36.727657889526824)	(145, 36.90346466046327)	(150, 36.32722233221144)	(155, 36.409503068699266)	(160, 36.354345674123934)	(165, 36.44652544050683)	(170, 35.936883785389035)	(175, 36.0919421896654)	(180, 35.90370223718075)	(185, 35.602454959413976)	(190, 35.72057018412196)	(195, 34.37806374975252)	(200, 34.74670362304494)	(205, 35.53027123341913)	(210, 34.98915066323501)	(215, 35.11387843991289)	(220, 34.75735497921204)	(225, 34.61694713918036)	(230, 33.7670560285092)	(235, 34.44581271035438)	(240, 35.018293407246084)	(245, 33.73019204117996)	(250, 32.34141754108097)
20210602-MA-ABB1P_S28_L001_R2_001	(1, 32.01880815680063)	(2, 32.26865967135221)	(3, 31.90417739061572)	(4, 31.11720451395763)	(5, 31.96772916254207)	(6, 35.97683627004554)	(7, 35.6056226489804)	(8, 33.031676895664226)	(9, 34.40209859433776)	(10, 35.55545436547218)	(15, 36.0793110275193)	(20, 35.00229657493565)	(25, 36.14369431795684)	(30, 37.40209859433775)	(35, 36.64110077212433)	(40, 36.469055632548006)	(45, 35.956246287863785)	(50, 36.36028509206098)	(55, 36.89602058998218)	(60, 34.94892100574144)	(65, 35.62819243714116)	(70, 37.41282914274401)	(75, 36.97113442882598)	(80, 37.384121956048304)	(85, 37.54020985943377)	(90, 37.48457731142348)	(95, 37.48818055830528)	(100, 37.110314789150664)	(105, 36.294793110275194)	(110, 37.41750148485448)	(115, 36.59651554147693)	(120, 37.380993862601464)	(125, 36.35149475351416)	(130, 37.33621065135617)	(135, 36.45713720055435)	(140, 35.688022173826965)	(145, 36.38166699663433)	(150, 36.30390021777866)	(155, 35.75002969708969)	(160, 35.478637893486436)	(165, 35.23341912492576)	(170, 35.44925757275787)	(175, 35.89835676103742)	(180, 36.16076024549594)	(185, 34.733003365670164)	(190, 35.58178578499307)	(195, 34.94179370421699)	(200, 35.057889526826365)	(205, 34.20657295585032)	(210, 34.81754108097406)	(215, 34.722787566818454)	(220, 32.85559295189071)	(225, 33.95454365472184)	(230, 33.62605424668382)	(235, 33.045891902593546)	(240, 33.48707186695704)	(245, 33.9295189071471)	(250, 30.837853890318748)
20210602-MA-ABB1W_S58_L001_R1_001	(1, 32.59545159194282)	(2, 32.550877192982455)	(3, 18.58180636777128)	(4, 30.728525016244316)	(5, 30.290448343079923)	(6, 31.906302794022093)	(7, 32.422482131254064)	(8, 32.619753086419756)	(9, 32.65899935022742)	(10, 34.91269655620532)	(15, 37.32909681611436)	(20, 37.4108122157245)	(25, 37.326445743989595)	(30, 38.383365821962315)	(35, 37.76085769980507)	(40, 37.91607537361923)	(45, 37.11901234567901)	(50, 37.505964912280696)	(55, 36.823651721897335)	(60, 37.690734243014944)	(65, 37.36400259909031)	(70, 37.53013645224172)	(75, 37.68231319038337)	(80, 37.20460038986355)	(85, 37.93616634178038)	(90, 37.39303443794672)	(95, 36.886549707602335)	(100, 37.25463287849253)	(105, 37.072644574398964)	(110, 37.52959064327486)	(115, 37.072904483430804)	(120, 36.96821312540611)	(125, 36.53380116959064)	(130, 36.38960363872645)	(135, 35.997842755035734)	(140, 36.67578947368421)	(145, 36.85910331384015)	(150, 36.295750487329435)	(155, 36.38289798570501)	(160, 36.33775178687459)	(165, 36.48608187134503)	(170, 35.93551656920077)	(175, 36.06726445743989)	(180, 35.84896686159844)	(185, 35.62747238466537)	(190, 35.711968810916176)	(195, 34.44654970760234)	(200, 34.562625081221576)	(205, 35.45510071474983)	(210, 34.959532163742686)	(215, 35.04543209876543)	(220, 34.68231319038337)	(225, 34.600935672514616)	(230, 33.7787134502924)	(235, 34.41426900584795)	(240, 35.04626380766731)	(245, 33.72901884340481)	(250, 32.14541910331384)
20210602-MA-ABB1W_S58_L001_R2_001	(1, 29.90422352176738)	(2, 31.72488628979857)	(3, 31.784925276153345)	(4, 31.737751786874593)	(5, 32.030799220272904)	(6, 36.30019493177388)	(7, 35.901104613385314)	(8, 32.96530214424951)	(9, 34.407797270955164)	(10, 35.598362573099415)	(15, 36.28309291747888)	(20, 35.27591942820013)	(25, 36.312722547108514)	(30, 37.637374918778434)	(35, 36.77026640675764)	(40, 36.536218323586745)	(45, 36.22541910331385)	(50, 36.51295646523717)	(55, 37.06331384015594)	(60, 35.35885640025991)	(65, 35.85671215074724)	(70, 37.578947368421055)	(75, 36.985003248862895)	(80, 37.46375568551007)	(85, 37.57317738791423)	(90, 37.57905133203379)	(95, 37.56262508122158)	(100, 37.24010396361274)	(105, 36.39072124756335)	(110, 37.52712150747239)	(115, 36.53728395061728)	(120, 37.50861598440546)	(125, 36.32589993502274)	(130, 37.342274204028584)	(135, 36.54640675763483)	(140, 35.829681611435994)	(145, 36.37686809616635)	(150, 36.38292397660819)	(155, 35.79667316439246)	(160, 35.55027940220923)	(165, 35.347472384665366)	(170, 35.4909681611436)	(175, 35.88842105263158)	(180, 36.14910981156596)	(185, 34.829083820662774)	(190, 35.5616114359974)	(195, 35.076751137102015)	(200, 35.14952566601689)	(205, 34.285614035087725)	(210, 34.82723846653671)	(215, 34.886029889538655)	(220, 33.147758284600386)	(225, 34.141988304093566)	(230, 33.564262508122155)	(235, 33.03267056530215)	(240, 33.375282651072126)	(245, 33.89296946068876)	(250, 30.82488628979857)
20210602-MA-ABS1F_S45_L001_R1_001	(1, 32.457826598666145)	(2, 32.38426834052569)	(3, 18.384268340525697)	(4, 30.745194193801492)	(5, 30.22185170655159)	(6, 31.652412710867008)	(7, 32.32424480188309)	(8, 32.609650843468025)	(9, 32.55884660651236)	(10, 34.77194978422911)	(15, 37.35052961945861)	(20, 37.37269517457827)	(25, 37.26555511965476)	(30, 38.355982738328755)	(35, 37.717183209101606)	(40, 37.82840329540996)	(45, 37.055825814044724)	(50, 37.49207532365634)	(55, 36.60537465672813)	(60, 37.521890937622594)	(65, 37.22302863868184)	(70, 37.38815221655551)	(75, 37.54707728520988)	(80, 37.101020007846216)	(85, 37.8637897214594)	(90, 37.22346018046293)	(95, 36.71216163201255)	(100, 37.1262063554335)	(105, 36.913848568065916)	(110, 37.43193409180071)	(115, 36.911533934876424)	(120, 36.94958807375441)	(125, 36.35696351510396)	(130, 36.24609650843468)	(135, 35.702981561396626)	(140, 36.595763044331115)	(145, 36.69176147508827)	(150, 36.160886622204785)	(155, 36.272577481365246)	(160, 36.19478226755591)	(165, 36.30631620243233)	(170, 35.715535504119266)	(175, 35.76979207532365)	(180, 35.58520988622989)	(185, 35.39697920753237)	(190, 35.51459395841506)	(195, 34.19917614750882)	(200, 34.28203216947823)	(205, 35.30109846998823)	(210, 34.721380933699486)	(215, 34.90211847783444)	(220, 34.45453118870145)	(225, 34.39482149862691)	(230, 33.435817967830516)	(235, 34.17661828167909)	(240, 34.94609650843468)	(245, 33.497371518242446)	(250, 31.99166339741075)
20210602-MA-ABS1F_S45_L001_R2_001	(1, 29.94919576304433)	(2, 31.632404864652806)	(3, 31.48214986269125)	(4, 31.25794429187917)	(5, 31.808160062769712)	(6, 36.45704197724598)	(7, 35.85386426049431)	(8, 33.645743428795605)	(9, 34.70635543350333)	(10, 35.75107885445273)	(15, 36.085680659081994)	(20, 35.07402903099255)	(25, 36.14217340133386)	(30, 37.49423303256179)	(35, 36.46265202040016)	(40, 36.237504903883874)	(45, 35.87826598666144)	(50, 36.201922322479405)	(55, 36.84582189093762)	(60, 34.986622204786194)	(65, 35.449901922322475)	(70, 37.432365633581796)	(75, 36.75970969007454)	(80, 37.34962730482542)	(85, 37.44637112593174)	(90, 37.486818360141235)	(95, 37.472773636720284)	(100, 37.060337387210666)	(105, 36.01686936053354)	(110, 37.37814829344841)	(115, 36.23499411533935)	(120, 37.34915653197332)	(125, 35.95500196155355)	(130, 37.0876422126324)	(135, 36.17347979599843)	(140, 35.325774813652416)	(145, 35.974656728128686)	(150, 35.96853668105139)	(155, 35.39176147508827)	(160, 35.11463318948608)	(165, 34.76261278932915)	(170, 35.0247155747352)	(175, 35.44746959591997)	(180, 35.87163593566104)	(185, 34.351667320517855)	(190, 35.214083954491954)	(195, 34.60141231855629)	(200, 34.952569635151036)	(205, 33.851785013730876)	(210, 34.50721851706552)	(215, 34.578697528442525)	(220, 32.66531973322871)	(225, 33.57877599058454)	(230, 33.16084739113378)	(235, 32.60686543742644)	(240, 33.07120439387995)	(245, 33.48681836014123)	(250, 30.388976069046684)
20210602-MA-ABS1P_S65_L001_R1_001	(1, 32.01169491525424)	(2, 32.10508474576271)	(3, 18.40135593220339)	(4, 30.798983050847458)	(5, 30.163728813559324)	(6, 31.461525423728812)	(7, 32.15118644067797)	(8, 32.632881355932206)	(9, 32.618983050847454)	(10, 34.863389830508474)	(15, 37.30749152542373)	(20, 37.34013559322034)	(25, 37.20166101694915)	(30, 38.32122033898305)	(35, 37.67901694915254)	(40, 37.82162711864407)	(45, 36.95705084745763)	(50, 37.469796610169496)	(55, 36.68227118644067)	(60, 37.62366101694916)	(65, 37.24477966101695)	(70, 37.52301694915254)	(75, 37.588338983050846)	(80, 37.08423728813559)	(85, 37.827220338983054)	(90, 37.268915254237285)	(95, 36.73169491525424)	(100, 37.109966101694916)	(105, 36.86837288135594)	(110, 37.398576271186435)	(115, 36.95067796610169)	(120, 36.95379661016949)	(125, 36.42430508474577)	(130, 36.326440677966104)	(135, 35.68718644067796)	(140, 36.69332203389831)	(145, 36.76945762711864)	(150, 36.156847457627116)	(155, 36.278067796610166)	(160, 36.15583050847457)	(165, 36.33681355932204)	(170, 35.79905084745762)	(175, 35.885491525423724)	(180, 35.669864406779666)	(185, 35.469491525423734)	(190, 35.509389830508475)	(195, 34.1655593220339)	(200, 34.30806779661016)	(205, 35.406067796610174)	(210, 34.83277966101695)	(215, 34.79603389830508)	(220, 34.55277966101694)	(225, 34.337661016949156)	(230, 33.36735593220339)	(235, 34.11935593220339)	(240, 34.83050847457627)	(245, 33.42627118644068)	(250, 32.20508474576271)
20210602-MA-ABS1P_S65_L001_R2_001	(1, 31.982033898305083)	(2, 32.15305084745763)	(3, 31.951186440677965)	(4, 31.452542372881357)	(5, 32.1942372881356)	(6, 36.316610169491526)	(7, 35.93491525423729)	(8, 34.02864406779661)	(9, 34.832033898305085)	(10, 35.822203389830506)	(15, 36.276474576271184)	(20, 35.33189830508475)	(25, 36.17715254237288)	(30, 37.539966101694915)	(35, 36.74176271186441)	(40, 36.48847457627119)	(45, 35.99745762711865)	(50, 36.31525423728814)	(55, 36.88969491525423)	(60, 35.25481355932203)	(65, 35.82552542372881)	(70, 37.49149152542373)	(75, 36.93003389830508)	(80, 37.36427118644068)	(85, 37.51328813559322)	(90, 37.54932203389831)	(95, 37.37406779661016)	(100, 37.11233898305085)	(105, 36.1431186440678)	(110, 37.24874576271186)	(115, 36.35932203389831)	(120, 37.37755932203389)	(125, 36.281661016949144)	(130, 37.30366101694916)	(135, 36.295966101694916)	(140, 35.59145762711864)	(145, 36.30593220338983)	(150, 36.19308474576271)	(155, 35.56376271186441)	(160, 35.29406779661017)	(165, 35.25050847457627)	(170, 35.49433898305084)	(175, 35.745830508474576)	(180, 36.131593220338985)	(185, 34.68871186440678)	(190, 35.55355932203389)	(195, 34.657559322033904)	(200, 34.989627118644066)	(205, 34.08433898305085)	(210, 34.72857627118644)	(215, 34.6955593220339)	(220, 32.90494915254237)	(225, 33.91640677966102)	(230, 33.52064406779661)	(235, 33.165423728813565)	(240, 33.37566101694915)	(245, 33.84203389830508)	(250, 30.596186440677968)
20210602-MA-ABS1W_S93_L001_R1_001	(1, 32.39581491305629)	(2, 32.7236958443855)	(3, 18.44282346006484)	(4, 30.50442086648983)	(5, 30.115826702033598)	(6, 31.649867374005304)	(7, 32.22163277335691)	(8, 32.54877689360448)	(9, 32.54052460949013)	(10, 34.9665487768936)	(15, 37.33418803418803)	(20, 37.384025935750074)	(25, 37.298703212496314)	(30, 38.34972001178898)	(35, 37.717653993516066)	(40, 37.865782493368705)	(45, 37.0412319481285)	(50, 37.47488947833776)	(55, 36.731653404067195)	(60, 37.62611258473328)	(65, 37.316475095785435)	(70, 37.4)	(75, 37.64862953138815)	(80, 37.21732979664014)	(85, 37.84494547597996)	(90, 37.32861774241085)	(95, 36.84111405835544)	(100, 37.230327144120245)	(105, 37.00884173297966)	(110, 37.481226053639844)	(115, 36.977571470674924)	(120, 36.95231358679634)	(125, 36.47049808429119)	(130, 36.37807250221043)	(135, 35.878367226643086)	(140, 36.62484526967286)	(145, 36.78989095195992)	(150, 36.30082522841144)	(155, 36.365546713822575)	(160, 36.35894488653109)	(165, 36.42726201002063)	(170, 35.839434129089305)	(175, 36.04677276746243)	(180, 35.74002357795462)	(185, 35.45305039787799)	(190, 35.60692602416741)	(195, 34.3641615089891)	(200, 34.540347774830536)	(205, 35.521956970232836)	(210, 34.91906867079281)	(215, 35.00503978779841)	(220, 34.628205128205124)	(225, 34.48219864426761)	(230, 33.56495726495727)	(235, 34.35455349248453)	(240, 34.94986737400531)	(245, 33.5999115826702)	(250, 31.909740642499266)
20210602-MA-ABS1W_S93_L001_R2_001	(1, 30.144709696433836)	(2, 31.70601237842617)	(3, 31.578249336870027)	(4, 31.26215738284704)	(5, 31.84129089301503)	(6, 36.412319481284996)	(7, 35.88387857353374)	(8, 33.823460064839374)	(9, 34.71898025346301)	(10, 35.73141762452107)	(15, 36.269938107869145)	(20, 35.21152372531683)	(25, 36.2535514294135)	(30, 37.539846743295016)	(35, 36.64282346006484)	(40, 36.39808429118774)	(45, 36.02876510462717)	(50, 36.29622752726201)	(55, 36.9840848806366)	(60, 35.068287651046276)	(65, 35.61641615089891)	(70, 37.50218096080165)	(75, 36.777807250221045)	(80, 37.430651340996164)	(85, 37.54924845269673)	(90, 37.58426171529619)	(95, 37.531682876510466)	(100, 37.09389920424403)	(105, 36.20565870910699)	(110, 37.432478632478634)	(115, 36.36902446212791)	(120, 37.40506926024167)	(125, 36.18437960506925)	(130, 37.26115531977601)	(135, 36.428146183318596)	(140, 35.663188918361335)	(145, 36.26610669024463)	(150, 36.16018272914825)	(155, 35.81862658414383)	(160, 35.33633952254642)	(165, 35.00409666961391)	(170, 35.20916592985559)	(175, 35.68756262894193)	(180, 36.037017388741525)	(185, 34.60772178013558)	(190, 35.35623342175066)	(195, 34.74768641320366)	(200, 35.09218980253463)	(205, 34.02319481284998)	(210, 34.703890362511046)	(215, 34.667432950191575)	(220, 32.90221043324492)	(225, 33.81774241084586)	(230, 33.390745652814616)	(235, 32.75219569702328)	(240, 33.19389920424403)	(245, 33.87992926613616)	(250, 30.587312113174185)
20210602-MA-CEB1F_S8_L001_R1_001	(1, 31.703667160006578)	(2, 31.902318697582633)	(3, 18.23104752507811)	(4, 30.732774214767307)	(5, 30.002137806281862)	(6, 31.814997533300446)	(7, 32.25275448117086)	(8, 32.48067752014471)	(9, 32.50814010853478)	(10, 34.830915967768455)	(15, 37.22578523269199)	(20, 37.32968261799046)	(25, 37.23785561585265)	(30, 38.308633448445974)	(35, 37.67163295510607)	(40, 37.77832593323466)	(45, 37.057523433645784)	(50, 37.42012826837691)	(55, 36.71415885545141)	(60, 37.49620128268377)	(65, 37.16411774379215)	(70, 37.28962341720112)	(75, 37.51047525078111)	(80, 37.07607301430686)	(85, 37.78098996875514)	(90, 37.19358658115442)	(95, 36.74454859398125)	(100, 37.124979444170364)	(105, 36.81368196020391)	(110, 37.270712053938496)	(115, 36.853576714356194)	(120, 36.76158526558132)	(125, 36.289130077289926)	(130, 36.21877980595296)	(135, 35.712711725045224)	(140, 36.48991942114784)	(145, 36.71248149975333)	(150, 36.101858246998844)	(155, 36.17704324946554)	(160, 36.20940634764019)	(165, 36.24851175793455)	(170, 35.62552211807268)	(175, 35.803288932741324)	(180, 35.63321822068739)	(185, 35.2828811050814)	(190, 35.5126459463904)	(195, 34.15609274790331)	(200, 34.34602861371485)	(205, 35.38243709916132)	(210, 34.71833580003289)	(215, 34.87778325933235)	(220, 34.47252096694623)	(225, 34.3124157210985)	(230, 33.37500411116593)	(235, 34.11744778819273)	(240, 34.807268541358326)	(245, 33.300575563229735)	(250, 31.647508633448446)
