Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
022um-Control_S36_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.3333333333333333)	(34.0, 0.3333333333333333)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.3333333333333333)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.3333333333333333)	(43.0, 0.3333333333333333)	(44.0, 1.9999999999999998)	(45.0, 2.6666666666666665)	(46.0, 0.6666666666666666)	(47.0, 1.3333333333333333)	(48.0, 4.333333333333333)	(49.0, 21.333333333333325)	(50.0, 1275.6666666666558)	(51.0, 2652.3333333334217)	(52.0, 285.00000000000125)	(53.0, 74.66666666666669)	(54.0, 43.00000000000003)	(55.0, 12.666666666666671)	(56.0, 3.666666666666667)	(57.0, 0.3333333333333333)	(58.0, 0.3333333333333333)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
022um-Control_S36_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.3333333333333333)	(38.0, 0.3333333333333333)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.3333333333333333)	(43.0, 0.3333333333333333)	(44.0, 0.6666666666666666)	(45.0, 4.0)	(46.0, 4.333333333333333)	(47.0, 1.9999999999999998)	(48.0, 10.0)	(49.0, 21.666666666666657)	(50.0, 65.33333333333348)	(51.0, 296.0000000000006)	(52.0, 2557.000000000045)	(53.0, 474.66666666665714)	(54.0, 100.99999999999964)	(55.0, 35.66666666666664)	(56.0, 15.000000000000009)	(57.0, 5.999999999999998)	(58.0, 3.0)	(59.0, 3.0)	(60.0, 1.3333333333333333)	(61.0, 0.3333333333333333)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.3333333333333333)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
20210602-MA-ABB1F_S31_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.3333333333333333)	(29.0, 1.0)	(30.0, 0.3333333333333333)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 3.666666666666667)	(39.0, 14.666666666666675)	(40.0, 55.666666666666785)	(41.0, 53.0000000000001)	(42.0, 68.66666666666677)	(43.0, 41.666666666666686)	(44.0, 40.00000000000001)	(45.0, 66.00000000000014)	(46.0, 67.66666666666679)	(47.0, 84.66666666666654)	(48.0, 108.99999999999953)	(49.0, 100.99999999999964)	(50.0, 168.0000000000004)	(51.0, 365.33333333333)	(52.0, 248.66666666666936)	(53.0, 361.33333333333024)	(54.0, 459.9999999999913)	(55.0, 148.33333333333317)	(56.0, 68.00000000000011)	(57.0, 32.333333333333286)	(58.0, 15.333333333333343)	(59.0, 4.0)	(60.0, 0.6666666666666666)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
20210602-MA-ABB1F_S31_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 1.0)	(30.0, 0.6666666666666666)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 3.3333333333333335)	(38.0, 4.0)	(39.0, 7.9999999999999964)	(40.0, 40.33333333333334)	(41.0, 78.66666666666663)	(42.0, 75.66666666666667)	(43.0, 52.00000000000009)	(44.0, 52.666666666666764)	(45.0, 28.3333333333333)	(46.0, 21.333333333333325)	(47.0, 58.000000000000135)	(48.0, 62.666666666666835)	(49.0, 75.66666666666667)	(50.0, 100.99999999999964)	(51.0, 204.00000000000142)	(52.0, 389.33333333332865)	(53.0, 277.66666666666833)	(54.0, 212.333333333335)	(55.0, 374.3333333333295)	(56.0, 187.66666666666762)	(57.0, 113.66666666666613)	(58.0, 55.666666666666785)	(59.0, 20.999999999999993)	(60.0, 22.33333333333332)	(61.0, 3.666666666666667)	(62.0, 0.3333333333333333)	(63.0, 0.6666666666666666)	(64.0, 0.6666666666666666)	(65.0, 0.6666666666666666)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
20210602-MA-ABB1P_S28_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.3333333333333333)	(25.0, 1.9999999999999998)	(26.0, 0.6666666666666666)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.6666666666666666)	(30.0, 0.0)	(31.0, 2.333333333333333)	(32.0, 4.0)	(33.0, 2.6666666666666665)	(34.0, 1.0)	(35.0, 1.6666666666666665)	(36.0, 0.6666666666666666)	(37.0, 0.6666666666666666)	(38.0, 1.6666666666666665)	(39.0, 15.333333333333343)	(40.0, 56.66666666666679)	(41.0, 56.66666666666679)	(42.0, 53.0000000000001)	(43.0, 95.33333333333306)	(44.0, 117.66666666666607)	(45.0, 111.66666666666616)	(46.0, 95.66666666666639)	(47.0, 117.33333333333275)	(48.0, 103.9999999999996)	(49.0, 104.33333333333293)	(50.0, 163.3333333333336)	(51.0, 296.0000000000006)	(52.0, 224.66666666666868)	(53.0, 325.9999999999989)	(54.0, 347.99999999999767)	(55.0, 112.33333333333282)	(56.0, 59.33333333333348)	(57.0, 34.99999999999997)	(58.0, 14.666666666666675)	(59.0, 4.0)	(60.0, 1.3333333333333333)	(61.0, 0.3333333333333333)	(62.0, 0.3333333333333333)	(63.0, 0.3333333333333333)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
20210602-MA-ABB1P_S28_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 1.6666666666666665)	(25.0, 1.6666666666666665)	(26.0, 0.3333333333333333)	(27.0, 0.3333333333333333)	(28.0, 1.0)	(29.0, 1.3333333333333333)	(30.0, 2.6666666666666665)	(31.0, 3.666666666666667)	(32.0, 2.6666666666666665)	(33.0, 1.0)	(34.0, 0.6666666666666666)	(35.0, 1.0)	(36.0, 1.3333333333333333)	(37.0, 1.3333333333333333)	(38.0, 1.9999999999999998)	(39.0, 12.333333333333337)	(40.0, 43.333333333333364)	(41.0, 115.6666666666661)	(42.0, 144.6666666666664)	(43.0, 95.33333333333306)	(44.0, 80.99999999999993)	(45.0, 43.6666666666667)	(46.0, 33.66666666666663)	(47.0, 64.00000000000017)	(48.0, 70.66666666666674)	(49.0, 100.66666666666632)	(50.0, 114.66666666666612)	(51.0, 195.66666666666785)	(52.0, 303.66666666666686)	(53.0, 227.00000000000207)	(54.0, 208.33333333333488)	(55.0, 310.33333333333314)	(56.0, 142.66666666666634)	(57.0, 85.99999999999986)	(58.0, 36.333333333333314)	(59.0, 21.666666666666657)	(60.0, 21.666666666666657)	(61.0, 6.333333333333331)	(62.0, 1.0)	(63.0, 0.6666666666666666)	(64.0, 0.3333333333333333)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
20210602-MA-ABB1W_S58_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.6666666666666666)	(26.0, 0.6666666666666666)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.3333333333333333)	(31.0, 0.6666666666666666)	(32.0, 1.3333333333333333)	(33.0, 3.3333333333333335)	(34.0, 2.6666666666666665)	(35.0, 1.6666666666666665)	(36.0, 0.6666666666666666)	(37.0, 1.3333333333333333)	(38.0, 1.6666666666666665)	(39.0, 28.666666666666632)	(40.0, 112.33333333333282)	(41.0, 101.99999999999963)	(42.0, 103.33333333333294)	(43.0, 98.99999999999967)	(44.0, 109.33333333333286)	(45.0, 118.66666666666606)	(46.0, 110.9999999999995)	(47.0, 128.9999999999993)	(48.0, 149.3333333333332)	(49.0, 128.9999999999993)	(50.0, 238.0000000000024)	(51.0, 471.9999999999906)	(52.0, 340.99999999999807)	(53.0, 513.3333333333218)	(54.0, 651.0000000000041)	(55.0, 220.33333333333522)	(56.0, 103.33333333333294)	(57.0, 69.0000000000001)	(58.0, 21.333333333333325)	(59.0, 4.333333333333333)	(60.0, 1.0)	(61.0, 0.0)	(62.0, 0.3333333333333333)	(63.0, 0.6666666666666666)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
20210602-MA-ABB1W_S58_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.6666666666666666)	(25.0, 0.6666666666666666)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.3333333333333333)	(30.0, 0.3333333333333333)	(31.0, 2.6666666666666665)	(32.0, 3.666666666666667)	(33.0, 1.9999999999999998)	(34.0, 2.333333333333333)	(35.0, 1.0)	(36.0, 0.6666666666666666)	(37.0, 1.0)	(38.0, 3.666666666666667)	(39.0, 22.33333333333332)	(40.0, 83.33333333333323)	(41.0, 163.3333333333336)	(42.0, 160.66666666666686)	(43.0, 93.66666666666642)	(44.0, 100.66666666666632)	(45.0, 56.00000000000012)	(46.0, 37.66666666666666)	(47.0, 82.33333333333324)	(48.0, 96.9999999999997)	(49.0, 122.33333333333267)	(50.0, 153.33333333333331)	(51.0, 301.00000000000034)	(52.0, 484.66666666665657)	(53.0, 352.9999999999974)	(54.0, 340.99999999999807)	(55.0, 537.9999999999912)	(56.0, 251.3333333333361)	(57.0, 158.6666666666668)	(58.0, 77.66666666666664)	(59.0, 28.666666666666632)	(60.0, 45.00000000000004)	(61.0, 9.333333333333332)	(62.0, 3.0)	(63.0, 1.6666666666666665)	(64.0, 1.0)	(65.0, 1.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
20210602-MA-ABS1F_S45_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.3333333333333333)	(33.0, 0.3333333333333333)	(34.0, 0.6666666666666666)	(35.0, 0.3333333333333333)	(36.0, 0.3333333333333333)	(37.0, 0.3333333333333333)	(38.0, 1.6666666666666665)	(39.0, 16.00000000000001)	(40.0, 71.66666666666673)	(41.0, 72.33333333333339)	(42.0, 64.3333333333335)	(43.0, 50.00000000000008)	(44.0, 51.33333333333342)	(45.0, 75.00000000000001)	(46.0, 65.33333333333348)	(47.0, 82.66666666666657)	(48.0, 79.33333333333329)	(49.0, 82.66666666666657)	(50.0, 168.33333333333374)	(51.0, 338.33333333333155)	(52.0, 235.0000000000023)	(53.0, 352.9999999999974)	(54.0, 422.6666666666601)	(55.0, 160.3333333333335)	(56.0, 79.33333333333329)	(57.0, 45.666666666666714)	(58.0, 13.33333333333334)	(59.0, 3.3333333333333335)	(60.0, 0.6666666666666666)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.3333333333333333)	(65.0, 0.3333333333333333)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
20210602-MA-ABS1F_S45_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.6666666666666666)	(32.0, 1.0)	(33.0, 0.6666666666666666)	(34.0, 0.3333333333333333)	(35.0, 0.6666666666666666)	(36.0, 0.3333333333333333)	(37.0, 0.6666666666666666)	(38.0, 3.0)	(39.0, 16.333333333333343)	(40.0, 48.000000000000064)	(41.0, 87.99999999999983)	(42.0, 77.99999999999997)	(43.0, 51.000000000000085)	(44.0, 60.66666666666682)	(45.0, 28.999999999999964)	(46.0, 26.66666666666664)	(47.0, 55.33333333333345)	(48.0, 70.00000000000009)	(49.0, 69.66666666666676)	(50.0, 87.33333333333317)	(51.0, 198.3333333333346)	(52.0, 342.66666666666464)	(53.0, 269.00000000000216)	(54.0, 235.666666666669)	(55.0, 328.66666666666544)	(56.0, 202.3333333333347)	(57.0, 129.99999999999932)	(58.0, 65.33333333333348)	(59.0, 26.333333333333307)	(60.0, 32.66666666666662)	(61.0, 7.9999999999999964)	(62.0, 1.9999999999999998)	(63.0, 0.0)	(64.0, 0.3333333333333333)	(65.0, 0.3333333333333333)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
