Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
022um-Control_S36_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.00760745530619994)	(34.0, 0.00760745530619994)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.00760745530619994)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.00760745530619994)	(43.0, 0.00760745530619994)	(44.0, 0.04564473183719963)	(45.0, 0.06085964244959952)	(46.0, 0.01521491061239988)	(47.0, 0.03042982122479976)	(48.0, 0.0988969189805992)	(49.0, 0.48687713959679596)	(50.0, 29.113731456826926)	(51.0, 60.53252187143494)	(52.0, 6.504374286800978)	(53.0, 1.7040699885887869)	(54.0, 0.9813617344997928)	(55.0, 0.2890833016355978)	(56.0, 0.08368200836819935)	(57.0, 0.00760745530619994)	(58.0, 0.00760745530619994)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
022um-Control_S36_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.009252405625462527)	(38.0, 0.009252405625462527)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.009252405625462527)	(43.0, 0.009252405625462527)	(44.0, 0.018504811250925055)	(45.0, 0.11102886750555033)	(46.0, 0.12028127313101288)	(47.0, 0.055514433752775164)	(48.0, 0.27757216876387586)	(49.0, 0.6014063656550641)	(50.0, 1.8134715025906598)	(51.0, 8.216136195410742)	(52.0, 70.9752035529243)	(53.0, 13.175425610658376)	(54.0, 2.8034789045151363)	(55.0, 0.9900074019244899)	(56.0, 0.41635825314581404)	(57.0, 0.16654330125832545)	(58.0, 0.08327165062916277)	(59.0, 0.08327165062916277)	(60.0, 0.03700962250185011)	(61.0, 0.009252405625462527)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.009252405625462527)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
20210602-MA-ABB1F_S31_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.012923235978289023)	(29.0, 0.03876970793486707)	(30.0, 0.012923235978289023)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.14215559576117928)	(39.0, 0.5686223830447173)	(40.0, 2.158180408374272)	(41.0, 2.0547945205479587)	(42.0, 2.662186611527543)	(43.0, 1.6154044972861288)	(44.0, 1.5507883173946833)	(45.0, 2.558800723701232)	(46.0, 2.623416903592677)	(47.0, 3.2825019384854075)	(48.0, 4.225898164900492)	(49.0, 3.9157405014215607)	(50.0, 6.513310933057684)	(51.0, 14.163866632204641)	(52.0, 9.640734039803716)	(53.0, 14.008787800465184)	(54.0, 17.834065650038518)	(55.0, 5.750840010338609)	(56.0, 2.6363401395709656)	(57.0, 1.2535538898940335)	(58.0, 0.5944688550012954)	(59.0, 0.1550788317394683)	(60.0, 0.025846471956578045)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
20210602-MA-ABB1F_S31_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.03956739646531263)	(30.0, 0.026378264310208423)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.13189132155104213)	(38.0, 0.15826958586125053)	(39.0, 0.31653917172250096)	(40.0, 1.5958849907676103)	(41.0, 3.112635188604593)	(42.0, 2.9939329992086563)	(43.0, 2.0575046161962605)	(44.0, 2.083882880506469)	(45.0, 1.1210762331838569)	(46.0, 0.8441044579266692)	(47.0, 2.2949089949881385)	(48.0, 2.479556845159599)	(49.0, 2.9939329992086563)	(50.0, 3.996307042996562)	(51.0, 8.071748878923835)	(52.0, 15.404906357161535)	(53.0, 10.986547085201876)	(54.0, 8.401477182801449)	(55.0, 14.811395410181879)	(56.0, 7.42548140332371)	(57.0, 4.497494064890515)	(58.0, 2.2025850699024083)	(59.0, 0.830915325771565)	(60.0, 0.8836718543919817)	(61.0, 0.14508045370614633)	(62.0, 0.013189132155104212)	(63.0, 0.026378264310208423)	(64.0, 0.026378264310208423)	(65.0, 0.026378264310208423)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
20210602-MA-ABB1P_S28_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.013166556945358806)	(25.0, 0.07899934167215283)	(26.0, 0.026333113890717613)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.026333113890717613)	(30.0, 0.0)	(31.0, 0.09216589861751164)	(32.0, 0.15799868334430567)	(33.0, 0.10533245556287045)	(34.0, 0.03949967083607642)	(35.0, 0.06583278472679403)	(36.0, 0.026333113890717613)	(37.0, 0.026333113890717613)	(38.0, 0.06583278472679403)	(39.0, 0.6056616194865054)	(40.0, 2.238314680711002)	(41.0, 2.238314680711002)	(42.0, 2.0934825543120543)	(43.0, 3.7656352863726075)	(44.0, 4.6477946017116345)	(45.0, 4.41079657669518)	(46.0, 3.7788018433179666)	(47.0, 4.634628044766276)	(48.0, 4.107965766951932)	(49.0, 4.121132323897291)	(50.0, 6.451612903225826)	(51.0, 11.691902567478644)	(52.0, 8.874259381171914)	(53.0, 12.87689269256087)	(54.0, 13.745885450954502)	(55.0, 4.4371296905858975)	(56.0, 2.3436471362738733)	(57.0, 1.3824884792626735)	(58.0, 0.5793285055957877)	(59.0, 0.15799868334430567)	(60.0, 0.052666227781435225)	(61.0, 0.013166556945358806)	(62.0, 0.013166556945358806)	(63.0, 0.013166556945358806)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
20210602-MA-ABB1P_S28_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.06656017039403614)	(25.0, 0.06656017039403614)	(26.0, 0.013312034078807227)	(27.0, 0.013312034078807227)	(28.0, 0.03993610223642168)	(29.0, 0.05324813631522891)	(30.0, 0.10649627263045781)	(31.0, 0.14643237486687952)	(32.0, 0.10649627263045781)	(33.0, 0.03993610223642168)	(34.0, 0.026624068157614453)	(35.0, 0.03993610223642168)	(36.0, 0.05324813631522891)	(37.0, 0.05324813631522891)	(38.0, 0.07987220447284335)	(39.0, 0.4925452609158676)	(40.0, 1.7305644302449408)	(41.0, 4.619275825346085)	(42.0, 5.777422790202326)	(43.0, 3.807241746538856)	(44.0, 3.234824281150153)	(45.0, 1.7438764643237479)	(46.0, 1.3445154419595284)	(47.0, 2.5559105431309943)	(48.0, 2.8221512247071354)	(49.0, 4.020234291799769)	(50.0, 4.579339723109664)	(51.0, 7.814164004259889)	(52.0, 12.127263045793391)	(53.0, 9.065495207667805)	(54.0, 8.320021299254579)	(55.0, 12.39350372736952)	(56.0, 5.697550585729481)	(57.0, 3.434504792332259)	(58.0, 1.451011714589987)	(59.0, 0.8652822151224694)	(60.0, 0.8652822151224694)	(61.0, 0.25292864749733723)	(62.0, 0.03993610223642168)	(63.0, 0.026624068157614453)	(64.0, 0.013312034078807227)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
20210602-MA-ABB1W_S58_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.017350568231109656)	(26.0, 0.017350568231109656)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.008675284115554828)	(31.0, 0.017350568231109656)	(32.0, 0.03470113646221931)	(33.0, 0.08675284115554828)	(34.0, 0.06940227292443862)	(35.0, 0.04337642057777414)	(36.0, 0.017350568231109656)	(37.0, 0.03470113646221931)	(38.0, 0.04337642057777414)	(39.0, 0.7460744339377143)	(40.0, 2.9235707469419636)	(41.0, 2.6546369393597677)	(42.0, 2.6893380758219867)	(43.0, 2.5765593823197754)	(44.0, 2.8454931899019713)	(45.0, 3.088401145137503)	(46.0, 2.8888696104797447)	(47.0, 3.3573349527197003)	(48.0, 3.8865272837685594)	(49.0, 3.3573349527197003)	(50.0, 6.194152858506209)	(51.0, 12.284202307625392)	(52.0, 8.87481565021254)	(53.0, 13.359937537954133)	(54.0, 16.942829877678687)	(55.0, 5.73436280038179)	(56.0, 2.6893380758219867)	(57.0, 1.795783811919852)	(58.0, 0.5552181833955088)	(59.0, 0.11277869350221276)	(60.0, 0.026025852346664484)	(61.0, 0.0)	(62.0, 0.008675284115554828)	(63.0, 0.017350568231109656)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
20210602-MA-ABB1W_S58_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.017605633802817)	(25.0, 0.017605633802817)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0088028169014085)	(30.0, 0.0088028169014085)	(31.0, 0.070422535211268)	(32.0, 0.09683098591549351)	(33.0, 0.052816901408451)	(34.0, 0.061619718309859496)	(35.0, 0.0264084507042255)	(36.0, 0.017605633802817)	(37.0, 0.0264084507042255)	(38.0, 0.09683098591549351)	(39.0, 0.5897887323943692)	(40.0, 2.2007042253521227)	(41.0, 4.313380281690173)	(42.0, 4.242957746478902)	(43.0, 2.473591549295782)	(44.0, 2.658450704225358)	(45.0, 1.4788732394366313)	(46.0, 0.9947183098591603)	(47.0, 2.1742957746478973)	(48.0, 2.5616197183098657)	(49.0, 3.230633802816903)	(50.0, 4.049295774647909)	(51.0, 7.948943661971885)	(52.0, 12.799295774647693)	(53.0, 9.322183098591532)	(54.0, 9.005281690140846)	(55.0, 14.20774647887309)	(56.0, 6.637323943662082)	(57.0, 4.19014084507045)	(58.0, 2.05105633802818)	(59.0, 0.7570422535211302)	(60.0, 1.1883802816901488)	(61.0, 0.24647887323943798)	(62.0, 0.0792253521126765)	(63.0, 0.0440140845070425)	(64.0, 0.0264084507042255)	(65.0, 0.0264084507042255)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
20210602-MA-ABS1F_S45_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.013147515119642426)	(33.0, 0.013147515119642426)	(34.0, 0.026295030239284853)	(35.0, 0.013147515119642426)	(36.0, 0.013147515119642426)	(37.0, 0.013147515119642426)	(38.0, 0.06573757559821213)	(39.0, 0.6310807257428369)	(40.0, 2.826715750723124)	(41.0, 2.8530107809624083)	(42.0, 2.5374704180909946)	(43.0, 1.972127267946367)	(44.0, 2.024717328424937)	(45.0, 2.9581909019195463)	(46.0, 2.5769129634499217)	(47.0, 3.2605837496713184)	(48.0, 3.129108598474896)	(49.0, 3.2605837496713184)	(50.0, 6.639495135419442)	(51.0, 13.344727846436994)	(52.0, 9.268998159348001)	(53.0, 13.923218511701227)	(54.0, 16.671049171706336)	(55.0, 6.3239547725480145)	(56.0, 3.129108598474896)	(57.0, 1.8012095713910146)	(58.0, 0.5259006047856973)	(59.0, 0.13147515119642428)	(60.0, 0.026295030239284853)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.013147515119642426)	(65.0, 0.013147515119642426)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
20210602-MA-ABS1F_S45_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0263608804534071)	(32.0, 0.03954132068011065)	(33.0, 0.0263608804534071)	(34.0, 0.01318044022670355)	(35.0, 0.0263608804534071)	(36.0, 0.01318044022670355)	(37.0, 0.0263608804534071)	(38.0, 0.11862396204033196)	(39.0, 0.6458415711084744)	(40.0, 1.8979833926453138)	(41.0, 3.4796362198497306)	(42.0, 3.08422301304863)	(43.0, 2.0166073546856467)	(44.0, 2.3988401212600525)	(45.0, 1.1466982997232076)	(46.0, 1.0544352181362828)	(47.0, 2.1879530776327942)	(48.0, 2.767892447607749)	(49.0, 2.7547120073810456)	(50.0, 3.4532753393963236)	(51.0, 7.842361934888663)	(52.0, 13.54949255305117)	(53.0, 10.63661526294985)	(54.0, 9.318571240279502)	(55.0, 12.995914063529652)	(56.0, 8.00052721760911)	(57.0, 5.140371688414358)	(58.0, 2.583366284433902)	(59.0, 1.0412547779095793)	(60.0, 1.2916831422169461)	(61.0, 0.31633056544088506)	(62.0, 0.07908264136022129)	(63.0, 0.0)	(64.0, 0.01318044022670355)	(65.0, 0.01318044022670355)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
