Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
022um-Control_S36_L001_R1_001	(1.0, 1.754184819995414)	(2.0, 0.8942903003898187)	(3.0, 0.5503324925475809)	(4.0, 0.8254987388213713)	(5.0, 0.8025682182985553)	(6.0, 0.6191240541160284)	(7.0, 0.4815409309791332)	(8.0, 0.18344416418252693)	(9.0, 0.20637468470534281)	('>10', 2.3045173125429947)	('>50', 2.0981426278376523)	('>100', 0.0)	('>500', 0.0)	('>1k', 89.27998165558358)	('>5k', 0.0)	('>10k+', 0.0)
022um-Control_S36_L001_R2_001	(1.0, 4.333868378812198)	(2.0, 0.8025682182985553)	(3.0, 0.6191240541160284)	(4.0, 0.27516624627379044)	(5.0, 0.2866315065351983)	(6.0, 0.5503324925475809)	(7.0, 0.4815409309791332)	(8.0, 0.4586104104563174)	(9.0, 0.20637468470534281)	('>10', 4.288007337766567)	('>50', 3.8752579683558817)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 83.8225177711534)	('>10k+', 0.0)
20210602-MA-ABB1F_S31_L001_R1_001	(1.0, 7.73855702094647)	(2.0, 3.9953452288595805)	(3.0, 2.0364623739332814)	(4.0, 1.8619084561675718)	(5.0, 1.3576415826221877)	(6.0, 1.1636927851047323)	(7.0, 1.0861132660977502)	(8.0, 0.9309542280837859)	(9.0, 1.3964313421256789)	('>10', 27.928626842513577)	('>50', 14.70131885182312)	('>100', 25.116369278510476)	('>500', 10.686578743211792)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-ABB1F_S31_L001_R2_001	(1.0, 11.869666408068271)	(2.0, 3.801396431342126)	(3.0, 2.734678044996121)	(4.0, 1.8619084561675718)	(5.0, 1.4546159813809154)	(6.0, 1.3964313421256789)	(7.0, 1.2218774243599688)	(8.0, 0.7757951900698216)	(9.0, 1.2218774243599688)	('>10', 22.420480993017843)	('>50', 8.630721489526765)	('>100', 23.913886733902253)	('>500', 18.6966640806827)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-ABB1P_S28_L001_R1_001	(1.0, 9.740645416749159)	(2.0, 5.226687784597109)	(3.0, 2.910314789150663)	(4.0, 2.5341516531379926)	(5.0, 1.3858641853098397)	(6.0, 1.0690952286675905)	(7.0, 1.5244506038408236)	(8.0, 1.4254603048901207)	(9.0, 1.0690952286675905)	('>10', 23.8170659275391)	('>50', 7.978618095426649)	('>100', 41.31855078202336)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-ABB1P_S28_L001_R2_001	(1.0, 13.97743021183924)	(2.0, 5.424668382498515)	(3.0, 2.5539497129281328)	(4.0, 1.9006137398534944)	(5.0, 1.3858641853098397)	(6.0, 2.019402098594338)	(7.0, 0.6929320926549198)	(8.0, 0.7919223916056227)	(9.0, 1.0690952286675905)	('>10', 18.451791724411006)	('>50', 9.008117204513958)	('>100', 28.548802217382697)	('>500', 14.175410809740645)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-ABB1W_S58_L001_R1_001	(1.0, 8.52501624431449)	(2.0, 4.262508122157245)	(3.0, 1.676413255360624)	(4.0, 1.4035087719298245)	(5.0, 1.0396361273554255)	(6.0, 1.3255360623781676)	(7.0, 1.091617933723197)	(8.0, 1.0396361273554255)	(9.0, 0.9356725146198831)	('>10', 19.68810916179337)	('>50', 16.45224171539961)	('>100', 23.287849252761532)	('>500', 19.272254710851204)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-ABB1W_S58_L001_R2_001	(1.0, 12.553606237816764)	(2.0, 3.898635477582846)	(3.0, 2.4171539961013644)	(4.0, 1.6634178037686809)	(5.0, 0.9096816114359974)	(6.0, 0.8576998050682261)	(7.0, 0.9096816114359974)	(8.0, 0.8317089018843404)	(9.0, 0.8187134502923977)	('>10', 16.257309941520468)	('>50', 10.149447693307343)	('>100', 22.105263157894736)	('>500', 8.97985705003249)	('>1k', 17.64782326185835)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-ABS1F_S45_L001_R1_001	(1.0, 9.631227932522558)	(2.0, 3.883876029815614)	(3.0, 2.177324440957238)	(4.0, 1.1769321302471558)	(5.0, 1.275009807767752)	(6.0, 1.2946253432718713)	(7.0, 1.3730874852883483)	(8.0, 1.2553942722636329)	(9.0, 0.5296194586112201)	('>10', 27.10867006669282)	('>50', 12.789329148685761)	('>100', 37.504903883876025)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-ABS1F_S45_L001_R2_001	(1.0, 13.475872891329931)	(2.0, 4.982346018046293)	(3.0, 2.236171047469596)	(4.0, 1.8830914083954493)	(5.0, 1.1769321302471558)	(6.0, 1.4123185562965868)	(7.0, 1.3730874852883483)	(8.0, 0.4707728520988623)	(9.0, 1.941938014907807)	('>10', 20.615927814829345)	('>50', 8.552373479795998)	('>100', 26.441741859552764)	('>500', 15.437426441741858)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-ABS1P_S65_L001_R1_001	(1.0, 11.05084745762712)	(2.0, 5.830508474576271)	(3.0, 1.9830508474576272)	(4.0, 1.5593220338983051)	(5.0, 2.11864406779661)	(6.0, 1.5254237288135595)	(7.0, 2.016949152542373)	(8.0, 1.0847457627118644)	(9.0, 1.3728813559322035)	('>10', 19.966101694915253)	('>50', 10.52542372881356)	('>100', 31.76271186440678)	('>500', 9.203389830508476)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-ABS1P_S65_L001_R2_001	(1.0, 14.389830508474578)	(2.0, 5.016949152542373)	(3.0, 2.9491525423728815)	(4.0, 2.2372881355932206)	(5.0, 1.3559322033898304)	(6.0, 1.5254237288135595)	(7.0, 1.0677966101694916)	(8.0, 1.4915254237288136)	(9.0, 0.7627118644067797)	('>10', 19.610169491525422)	('>50', 8.711864406779661)	('>100', 24.40677966101695)	('>500', 16.474576271186443)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-ABS1W_S93_L001_R1_001	(1.0, 9.077512525788388)	(2.0, 3.8314176245210727)	(3.0, 2.961980548187445)	(4.0, 1.6504568228706158)	(5.0, 1.2525788387857353)	(6.0, 1.1494252873563218)	(7.0, 1.237842617152962)	(8.0, 0.707338638373121)	(9.0, 1.4588859416445623)	('>10', 20.14441497200118)	('>50', 9.932213380489243)	('>100', 38.93309755378721)	('>500', 7.662835249042145)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-ABS1W_S93_L001_R2_001	(1.0, 14.028882994400234)	(2.0, 4.037724727379899)	(3.0, 2.608311229000884)	(4.0, 1.9451812555260832)	(5.0, 0.9578544061302682)	(6.0, 0.8841732979664014)	(7.0, 1.031535514294135)	(8.0, 1.1788977306218684)	(9.0, 0.7957559681697612)	('>10', 16.607721780135574)	('>50', 11.007957559681698)	('>100', 23.13586796345417)	('>500', 21.780135573239022)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CEB1F_S8_L001_R1_001	(1.0, 9.537904949843776)	(2.0, 3.6178260154579838)	(3.0, 2.2693635915145536)	(4.0, 1.3813517513566849)	(5.0, 1.562243052129584)	(6.0, 1.7760236803157377)	(7.0, 1.151126459463904)	(8.0, 1.1840157868771584)	(9.0, 1.1840157868771584)	('>10', 22.693635915145535)	('>50', 16.181549087321166)	('>100', 19.141588554514062)	('>500', 18.3193553691827)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
