Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
022um-Control_S36_L001_R1_001	96.82412290759001	51.0	251.0	251	63.63636363636363	0.008721999999999999
022um-Control_S36_L001_R2_001	94.38202247191012	52.0	251.0	251	36.36363636363637	0.008721999999999999
20210602-MA-ABB1F_S31_L001_R1_001	86.5011636927851	52.0	251.0	251	63.63636363636363	0.005156
20210602-MA-ABB1F_S31_L001_R2_001	82.5833979829325	52.0	251.0	251	36.36363636363637	0.005156
20210602-MA-ABB1P_S28_L001_R1_001	83.66660067313404	51.0	251.0	251	63.63636363636363	0.005051
20210602-MA-ABB1P_S28_L001_R2_001	79.88517125321718	51.0	251.0	251	36.36363636363637	0.005051
20210602-MA-ABB1W_S58_L001_R1_001	86.32878492527615	51.0	251.0	251	63.63636363636363	0.007695
20210602-MA-ABB1W_S58_L001_R2_001	82.50812215724497	52.0	251.0	251	36.36363636363637	0.007695
20210602-MA-ABS1F_S45_L001_R1_001	84.9352687328364	51.0	251.0	251	63.63636363636363	0.005098
20210602-MA-ABS1F_S45_L001_R2_001	80.65908199293841	52.0	251.0	251	36.36363636363637	0.005098
20210602-MA-ABS1P_S65_L001_R1_001	82.40677966101694	51.0	251.0	251	63.63636363636363	0.0059
20210602-MA-ABS1P_S65_L001_R2_001	79.40677966101694	52.0	251.0	251	36.36363636363637	0.0059
20210602-MA-ABS1W_S93_L001_R1_001	85.48482169171824	51.0	251.0	251	63.63636363636363	0.0067859999999999995
20210602-MA-ABS1W_S93_L001_R2_001	80.71028588269968	51.0	251.0	251	36.36363636363637	0.0067859999999999995
20210602-MA-CEB1F_S8_L001_R1_001	85.11757934550238	51.0	251.0	251	63.63636363636363	0.006081
20210602-MA-CEB1F_S8_L001_R2_001	81.7464232856438	52.0	251.0	251	36.36363636363637	0.006081
20210602-MA-CEB1P_S87_L001_R1_001	88.37239926257573	51.0	251.0	251	63.63636363636363	0.007594
20210602-MA-CEB1P_S87_L001_R2_001	84.94864366605215	52.0	251.0	251	36.36363636363637	0.007594
20210602-MA-CEB1W_S94_L001_R1_001	85.73970165594635	50.0	251.0	251	63.63636363636363	0.007306999999999999
20210602-MA-CEB1W_S94_L001_R2_001	82.15409880936089	51.0	251.0	251	36.36363636363637	0.007306999999999999
20210602-MA-CES1F_S79_L001_R1_001	87.42992033048097	52.0	251.0	251	63.63636363636363	0.006777999999999999
20210602-MA-CES1F_S79_L001_R2_001	81.0858660371791	53.0	251.0	251	36.36363636363637	0.006777999999999999
20210602-MA-CES1P_S41_L001_R1_001	85.28690534575773	51.0	251.0	251	63.63636363636363	0.006117
20210602-MA-CES1P_S41_L001_R2_001	82.18080758541768	52.0	251.0	251	36.36363636363637	0.006117
20210602-MA-CES1W_S47_L001_R1_001	86.8147120055517	52.0	251.0	251	63.63636363636363	0.005764
20210602-MA-CES1W_S47_L001_R2_001	82.07841776544066	53.0	251.0	251	36.36363636363637	0.005764
